,Name,Property_type,Country,code,latitude,longitude,neighbourhood,Accomadates,Price,guests_included,Extra_people,min_nights,max_nights,Cancellation_policy,amenities,availability_365,bedrooms,beds,room_type,last_review,Reviews_count,review_score,host_listings,host_name,host_id,verified_host
1567,"Bright, beautiful room for a comfortable stay",House,United States of America,USA,40.85487,-73.91391,The Bronx,2,53.0,1.0,0.0,3,25,strict_14_with_grace_period,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Free street parking', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Garden or backyard', 'Luggage dropoff allowed', 'Other']",35,1.0,1.0,Private room,2019-02-18 05:00:00,47,95.0,8,"Rossy,  Carmen And Juan",13649613,True
1569,Great location/ 1 min sub./ terrace,Apartment,Canada,CA,45.46158,-73.56593,Verdun,2,99.0,2.0,10.0,3,90,moderate,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'Free street parking', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'Crib', 'Pack ’n Play/travel crib', 'Children’s dinnerware', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Patio or balcony', 'Long term stays allowed', 'Other']",147,1.0,1.0,Entire home/apt,2018-12-16 05:00:00,64,98.0,2,Laurence,6188332,True
1570,Entire MASSIVE apt. for 4 ppl 1 Block from Subway,Apartment,United States of America,USA,40.72571,-73.84944,Queens,4,197.0,2.0,20.0,3,60,strict_14_with_grace_period,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Breakfast', 'Elevator', 'Free street parking', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Essentials', 'Shampoo', 'Hangers', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Lockbox', 'Hot water']",0,1.0,2.0,Entire home/apt,2018-04-06 04:00:00,24,96.0,1,Eva,10335937,False
1571,Spacious Contemporary Home with Pool,House,Australia,AUS,-33.93401,151.2337,Kingsford,6,395.0,1.0,0.0,14,24,strict_14_with_grace_period,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Safety card', 'Essentials', 'Lock on bedroom door', 'Hangers', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_50']",0,3.0,3.0,Entire home/apt,2018-01-07 05:00:00,1,100.0,1,Kerri,11772319,True
1572,KS RESIDENCE - Apt Completo p/ 3 pessoas,Apartment,Brazil,BRA,-23.009072925696568,-43.30694704021649,Barra da Tijuca,3,321.0,1.0,95.0,1,30,moderate,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Gym', 'Breakfast', 'Elevator', 'Family/kid friendly', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hair dryer', 'Laptop friendly workspace', 'Baby bath', 'Room-darkening shades']",359,2.0,1.0,Entire home/apt,2018-03-25 04:00:00,1,100.0,2,Stephan Oliveira,3106503,False
1573,【 1 min to MTR】Standard Double Bed Room尖沙咀標準大床房,Apartment,Hong Kong,CHN,22.29891,114.17143,Tsim Sha Tsui,2,400.0,2.0,50.0,1,1125,strict_14_with_grace_period,"['TV', 'Wifi', 'Air conditioning', 'Elevator', 'Heating', 'Family/kid friendly', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Laptop friendly workspace', 'Self check-in', 'Keypad', 'Private entrance', 'Window guards', 'Room-darkening shades', 'Hot water', 'Luggage dropoff allowed', 'Paid parking on premises']",318,1.0,1.0,Private room,2019-01-22 05:00:00,71,90.0,7,Jane,94983554,True
1574,Bright & Airy Private Room near L/JMZ trains,Apartment,United States of America,USA,40.70341,-73.9292,Brooklyn,2,54.0,1.0,0.0,2,1125,flexible,"['Wifi', 'Kitchen', 'Smoke detector', 'Lock on bedroom door', 'Hangers', 'Hair dryer']",0,1.0,1.0,Private room,2017-10-29 04:00:00,3,93.0,1,Leah,88314328,False
1575,Montréal en famille ou amis,Apartment,Canada,CA,45.5558,-73.53136,Mercier-Hochelaga-Maisonneuve,4,75.0,4.0,25.0,2,1125,strict_14_with_grace_period,"['TV', 'Wifi', 'Kitchen', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Self check-in', 'Lockbox', 'Hot water']",3,2.0,2.0,Entire home/apt,2019-01-22 05:00:00,21,95.0,1,Brigitte,124103434,False
1576,House Of Hawaii Dreams,Guesthouse,United States of America,USA,21.28212,-157.75874,Kuliouou/Kalani Iki,6,299.0,1.0,0.0,2,60,strict_14_with_grace_period,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Family/kid friendly', 'Washer', 'Smoke detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Smart lock', 'Private living room', 'Private entrance', 'Children’s books and toys', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Patio or balcony', 'Garden or backyard', 'Beach essentials', 'Luggage dropoff allowed', 'Long term stays allowed', 'Beachfront']",258,2.0,3.0,Entire home/apt,2019-03-02 05:00:00,60,98.0,2,Hannah,128054997,False
1577,relaxing in Porto,Apartment,Portugal,PRT,41.16264,-8.62281,,2,35.0,2.0,10.0,2,1125,moderate,"['TV', 'Wifi', 'Kitchen', 'Free street parking', 'Family/kid friendly', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Long term stays allowed', 'Host greets you']",15,1.0,1.0,Entire home/apt,2019-01-10 05:00:00,26,93.0,7,Isabel,38727307,False
1578,Beautiful 4 level terrace in the heart of Sydney!,House,Australia,AUS,-33.88672,151.19858,Chippendale,7,274.0,1.0,0.0,4,21,moderate,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",0,3.0,3.0,Entire home/apt,2017-07-15 04:00:00,3,87.0,2,Jaime,4367293,True
1579,Cozy 2 bedroom Apt. in YMT,Apartment,Hong Kong,CHN,22.31162,114.17048,Mong Kok,4,589.0,4.0,60.0,1,1125,strict_14_with_grace_period,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'Family/kid friendly', 'Washer', 'Smoke detector', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Laptop friendly workspace', 'Private entrance', 'Window guards', 'Room-darkening shades', 'Hot water', 'Microwave', 'Refrigerator', 'Cooking basics', 'Long term stays allowed']",291,2.0,3.0,Entire home/apt,2019-01-11 05:00:00,10,72.0,5,Eddy,2601704,False
1580,"Casa acolhedora, 2 minutos do rio douro",House,Portugal,PRT,41.13593,-8.56464,,5,31.0,4.0,15.0,2,1125,moderate,"['TV', 'Wifi', 'Kitchen', 'Free parking on premises', 'Pets allowed', 'Free street parking', 'Family/kid friendly', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Private entrance', 'Bathtub', 'Hot water', 'Bed linens', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Oven', 'Stove', 'BBQ grill', 'Patio or balcony', 'Garden or backyard', 'Luggage dropoff allowed', 'Long term stays allowed', 'Step-free access', 'Step-free access', 'Step-free access']",281,2.0,2.0,Entire home/apt,2019-01-14 05:00:00,79,95.0,1,Sandra,44779942,True
1581,Large room in a centennial house,House,Brazil,BRA,-22.918187895407428,-43.18978902444573,Santa Teresa,4,119.0,1.0,50.0,2,1125,strict_14_with_grace_period,"['Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Smoking allowed', 'Breakfast', 'Pets live on this property', 'Dog(s)', 'Cat(s)', 'Family/kid friendly', 'Washer', 'Dryer']",360,1.0,2.0,Private room,2019-01-02 05:00:00,10,100.0,4,Elmiro,9269441,True
1583,"Garden Room: A Feast for the Senses Big Island,Hi.",House,United States of America,USA,20.22656,-155.79756,Island of Hawaiʻi,3,110.0,2.0,10.0,2,1125,strict_14_with_grace_period,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Pets live on this property', 'Dog(s)', 'Cat(s)', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Private entrance', 'Children’s books and toys']",356,1.0,2.0,Private room,2019-02-05 05:00:00,25,96.0,4,Bobi,9635363,True
1584,Lanikai Plantation - 4 bedrooms/3 baths,House,United States of America,USA,21.38483,-157.71179,Oʻahu,8,595.0,8.0,20.0,4,1125,strict_14_with_grace_period,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Free street parking', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Building staff', 'Private entrance', 'Children’s books and toys', 'Pack ’n Play/travel crib', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'BBQ grill', 'Patio or balcony', 'Beach essentials', 'Luggage dropoff allowed']",145,4.0,5.0,Private room,2018-12-31 05:00:00,2,90.0,5,Lori,81170179,False
1585,Spacious 3 BR 12ppl Beside MTR :),Apartment,Hong Kong,CHN,22.31326,114.17134,Yau Tsim Mong,12,1397.0,1.0,0.0,2,1125,strict_14_with_grace_period,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Kitchen', 'Pets live on this property', 'Elevator', 'Heating', 'Family/kid friendly', 'Suitable for events', 'Washer', 'Safety card', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",322,3.0,6.0,Entire home/apt,2019-03-04 05:00:00,9,96.0,6,Rick,14634338,False
1586,Cozy Nest Stunning Bathroom Near OldPort & DT,Apartment,Canada,CA,45.53688,-73.55818,Le Plateau-Mont-Royal,4,75.0,1.0,0.0,3,28,moderate,"['TV', 'Wifi', 'Kitchen', 'Free street parking', 'Heating', 'Family/kid friendly', 'Washer', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Lockbox', 'Private living room', 'Private entrance', 'Baby bath', 'High chair', 'Children’s books and toys', 'Babysitter recommendations', 'Crib', 'Pack ’n Play/travel crib', 'Room-darkening shades', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Single level home', 'BBQ grill', 'Patio or balcony', 'Garden or backyard', 'Luggage dropoff allowed', 'Long term stays allowed']",38,1.0,4.0,Entire home/apt,2019-03-07 05:00:00,111,96.0,2,Tanguy & Uriel,91549951,False
1589,"Centrally located, new renovation",Apartment,Hong Kong,CHN,22.28056,114.15086,Soho,4,903.0,1.0,0.0,3,1125,flexible,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'Shampoo', '24-hour check-in', 'Hangers', 'Iron']",0,2.0,2.0,Entire home/apt,2016-02-12 05:00:00,1,100.0,1,Pete,9674420,True
1590,Atico en Paseo de Gracia,Apartment,Spain,ESP,41.39542,2.16073,Eixample,4,106.0,1.0,0.0,4,1125,moderate,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'Heating', 'Washer', 'Essentials', 'Shampoo', 'Hangers', 'Bed linens', 'Extra pillows and blankets']",56,1.0,4.0,Entire home/apt,2019-02-10 05:00:00,35,85.0,5,Llorens,116797836,False
1592,Cozy studio in front of Parc La Fonteine,Apartment,Canada,CA,45.52813,-73.57349,Le Plateau,3,40.0,1.0,0.0,1,14,moderate,"['Wifi', 'Kitchen', 'Family/kid friendly', 'Smoke detector', 'First aid kit', 'Essentials', 'Shampoo', 'Hangers', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Lockbox']",0,1.0,2.0,Entire home/apt,2018-01-28 05:00:00,18,93.0,3,Rafael,30120403,False
1593,Hale Nui Ohana,House,United States of America,USA,19.61198,-155.9684,Kailua/Kona,14,343.0,8.0,25.0,5,1125,strict_14_with_grace_period,"['TV', 'Wifi', 'Kitchen', 'Free parking on premises', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', 'Lock on bedroom door', 'Hangers']",352,4.0,4.0,Entire home/apt,2018-10-19 04:00:00,2,80.0,5,Wayne B.,107503112,False
1594,Sunny loft-style apartment in Place-des-Arts !,Loft,Canada,CA,45.51123,-73.57067,Le Plateau,2,301.0,2.0,10.0,1,7,strict_14_with_grace_period,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Fire extinguisher', 'Essentials', 'Hair dryer', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Private entrance']",90,1.0,1.0,Entire home/apt,2018-04-29 04:00:00,5,100.0,1,Montréal,16588093,False
1595,Oporto Center Spot,Apartment,Portugal,PRT,41.14557,-8.60732,,4,60.0,2.0,10.0,2,1125,moderate,"['TV', 'Cable TV', 'Wifi', 'Kitchen', 'Heating', 'Family/kid friendly', 'Washer', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Smart lock', 'Hot water', 'Bed linens', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Luggage dropoff allowed']",51,1.0,1.0,Entire home/apt,2019-01-15 05:00:00,87,97.0,3,Dulce,128963393,True
1596,Charming Studio with Balcony + Garden (4 guests) 1,Apartment,Portugal,PRT,41.14792,-8.61967,,4,55.0,2.0,15.0,2,700,moderate,"['TV', 'Cable TV', 'Wifi', 'Kitchen', 'Pets allowed', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Keypad', 'Pack ’n Play/travel crib', 'Hot water', 'Bed linens', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Garden or backyard']",315,1.0,2.0,Entire home/apt,2018-08-16 04:00:00,3,100.0,48,Oporto City Flats,4207615,False
1597,3 BDR APT AND ROOFTOP ONE TRAIN STOP TO MANHATAN,Apartment,United States of America,USA,40.71047,-73.96311,Williamsburg,6,315.0,6.0,40.0,2,1125,flexible,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Smoke detector', 'First aid kit', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Laptop friendly workspace']",236,3.0,3.0,Entire home/apt,2019-02-16 05:00:00,100,96.0,4,Ana Y Victor,69124870,False
1598,日本人がﾎｽﾄする香港西貢のAirbnb,Apartment,Hong Kong,CHN,22.39392,114.28777,,1,353.0,1.0,150.0,1,1125,moderate,"['Kitchen', 'Family/kid friendly', 'Washer', 'Essentials', 'Shampoo', 'Hair dryer', 'Iron', 'Host greets you']",240,2.0,2.0,Private room,2019-01-19 05:00:00,6,100.0,1,Kaz,117292423,False
1599,Auwailani Garden Apartment,Apartment,United States of America,USA,21.41246,-157.79928,Windward Side,4,96.0,3.0,10.0,3,14,moderate,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Smoking allowed', 'Family/kid friendly', 'Suitable for events', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Essentials', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_50', 'Private entrance', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Host greets you']",296,1.0,2.0,Entire home/apt,2019-02-23 05:00:00,70,98.0,3,Susie,73622629,False
1600,The Paddington Cottage | Sydney Eastern Suburbs,House,Australia,AUS,-33.88325,151.22243,Paddington,3,350.0,1.0,0.0,2,1125,strict_14_with_grace_period,"['TV', 'Cable TV', 'Wifi', 'Kitchen', 'Indoor fireplace', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Iron', 'Laptop friendly workspace', 'Private entrance', 'Hot water', 'Bed linens', 'Full kitchen']",0,3.0,0.0,Entire home/apt,2019-01-01 05:00:00,21,98.0,4,Bradley,6232360,False
1601,Luxury condo with free indoor parking,Condominium,Canada,CA,45.48985,-73.57601,Downtown Montreal,4,94.0,1.0,0.0,31,1125,moderate,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Gym', 'Elevator', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Keypad', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Patio or balcony', 'Long term stays allowed']",8,0.0,1.0,Entire home/apt,2019-02-09 05:00:00,19,96.0,1,Carlos,76217411,False
1602,Big 4 Bedroom~,Apartment,Spain,ESP,41.39483,2.14977,Sant Gervasi - Galvany,7,200.0,1.0,0.0,4,1120,strict_14_with_grace_period,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Heating', 'Family/kid friendly', 'Washer', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Building staff', 'Hot water', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Stove']",283,4.0,5.0,Entire home/apt,2019-02-22 05:00:00,32,94.0,98,Stay U-Nique,299462,False
1603,Harbour Views from North Sydney High Street,Apartment,Australia,AUS,-33.84424,151.21634,Neutral Bay,4,145.0,2.0,10.0,2,1125,strict_14_with_grace_period,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection', 'Microwave', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Long term stays allowed', 'Host greets you']",179,1.0,1.0,Entire home/apt,2019-01-24 05:00:00,74,96.0,8,Stephen (Sydney Holiday Rentals),17714205,True
1604,Modern Sunny Midtown Gem,Apartment,United States of America,USA,40.74452,-73.98163,Manhattan,3,195.0,1.0,0.0,3,1125,moderate,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Long term stays allowed', 'Host greets you']",0,1.0,2.0,Entire home/apt,2018-09-22 04:00:00,14,98.0,1,Leah,18838868,True
1605,Fabulous Beach Front Penthouse,Apartment,Portugal,PRT,41.30637,-8.73638,,8,200.0,9.0,25.0,3,28,moderate,"['TV', 'Cable TV', 'Wifi', 'Pool', 'Kitchen', 'Free parking on premises', 'Smoking allowed', 'Elevator', 'Heating', 'Family/kid friendly', 'Washer', 'Safety card', 'Fire extinguisher', 'Essentials', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Private entrance', 'High chair', 'Pack ’n Play/travel crib', 'Room-darkening shades', 'Beachfront']",324,3.0,4.0,Entire home/apt,2019-01-01 05:00:00,12,100.0,1,Manuela,129967760,False
1606,For 4 or 6 - Wonderful Apartment downtown,Loft,Portugal,PRT,41.14655,-8.61294,,6,140.0,4.0,15.0,2,1125,strict_14_with_grace_period,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Kitchen', 'Paid parking off premises', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Lockbox', 'Hot water', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Stove', 'Patio or balcony', 'Luggage dropoff allowed', 'Long term stays allowed', 'Other']",338,2.0,4.0,Entire home/apt,2019-01-31 05:00:00,125,94.0,4,Manuel,8161650,True
1607,"Great, light filled room with ensuite private bath",Apartment,United States of America,USA,40.7097,-73.94001,Williamsburg,2,120.0,1.0,0.0,2,1125,moderate,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Heating', 'Essentials', 'Shampoo', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Private living room']",0,1.0,1.0,Private room,2017-10-15 04:00:00,3,93.0,2,Kung,1038989,True
1609,5 Room Villa in Oporto Center,House,Portugal,PRT,41.15624,-8.59597,,10,160.0,1.0,0.0,2,1125,strict_14_with_grace_period,"['TV', 'Cable TV', 'Wifi', 'Kitchen', 'Family/kid friendly', 'Washer', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Private entrance', 'High chair', 'Hot water', 'Bed linens']",132,5.0,10.0,Entire home/apt,2018-08-09 04:00:00,3,93.0,9,Cedilhas,110204521,False
1610,Happy studio,Apartment,Portugal,PRT,41.13444,-8.63583,,4,35.0,1.0,25.0,7,100,strict_14_with_grace_period,"['TV', 'Kitchen', 'Elevator', 'Free street parking', 'Family/kid friendly', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Hangers', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Luggage dropoff allowed', 'Long term stays allowed', 'Cleaning before checkout']",365,1.0,2.0,Entire home/apt,2017-10-10 04:00:00,4,100.0,1,Jorge,94998397,False
1612,*** Next To Place Des Arts ***,Condominium,Canada,CA,45.50504,-73.56397,Chinatown,4,250.0,2.0,35.0,1,1124,strict_14_with_grace_period,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Gym', 'Elevator', 'Hot tub', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Private entrance', 'Bathtub', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection', 'Pocket wifi', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Single level home', 'Patio or balcony', 'Long term stays allowed', 'Other']",265,1.0,1.0,Entire home/apt,2019-01-23 05:00:00,16,94.0,70,Mike,318040,False
1613,Charming Family House with Garden (6981/AL),Townhouse,Portugal,PRT,41.15206,-8.65228,,6,55.0,1.0,0.0,1,15,strict_14_with_grace_period,"['TV', 'Cable TV', 'Wifi', 'Kitchen', 'Free street parking', 'Family/kid friendly', 'First aid kit', 'Fire extinguisher', 'Hair dryer', 'Outlet covers', 'Baby bath', 'Changing table', 'High chair', 'Children’s books and toys', 'Pack ’n Play/travel crib', 'Room-darkening shades', 'Children’s dinnerware', 'Hot water', 'Bed linens', 'Microwave', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Stove', 'Single level home', 'Garden or backyard', 'Host greets you']",223,3.0,4.0,Entire home/apt,2018-10-29 04:00:00,171,95.0,1,Helena,897112,False
1614,Double room in Poble sec,Apartment,Spain,ESP,41.37292,2.16187,El Poble-sec,2,25.0,1.0,15.0,2,1125,flexible,"['TV', 'Wifi', 'Kitchen', 'Smoking allowed', 'Dryer', 'Essentials', 'Hangers', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50']",295,1.0,1.0,Private room,2018-11-18 05:00:00,42,86.0,3,Dino,130265495,False
1615,Spacious cozy apartment in Little Burgundy,Apartment,Canada,CA,45.483,-73.57727,Le Sud-Ouest,3,90.0,2.0,25.0,2,14,moderate,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'translation missing: en.hosting_amenity_50', 'Private entrance', 'Microwave']",65,1.0,1.0,Entire home/apt,2019-02-22 05:00:00,74,99.0,1,Alfredo,34920887,False
